Empresa,Tipo,Año,Mes,No. Trabajadores,HHT,No. DP,No. NM,No. FAI,No. MTI,No. MWD,No. LTI,No. Fatalidad,No. Dias IncapacidadxAT,No. Cargados,No. Casos EG,No. Incapacidad EG,No. Casos EL
MAXITEMPO,Contratista,2026,1,28,5376,0,0,0,0,0,0,0,0,0,0,0,0
ADECCO,Contratista,2026,1,1,214,0,0,0,0,0,0,0,0,0,0,0,0
ATLAS COP CO,Contratista,2026,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIZACION Y PESO,Contratista,2026,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2026,1,4,87,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO S.A.,Contratista,2026,1,15,2860,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2026,1,8,331,0,0,0,0,0,0,0,0,0,0,0,0
CODIFICACION Y ETIQUETADO S.A,Contratista,2026,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
COLPLAGAS SAS,Contratista,2026,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
COMPAÑIA DE SEGUROS BOLIVAR SA,Contratista,2026,1,2,71,0,0,0,0,0,0,0,0,0,0,0,0
ENERMAQ,Contratista,2026,1,7,82,0,0,0,0,0,0,0,0,0,0,0,0
EQUISERVICIOS DE LA COSTA,Contratista,2026,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0
GRUAS Y EQUIPOS DEL NORTE,Contratista,2026,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
ICCLAB LTDA,Contratista,2026,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0
ITECO,Contratista,2026,1,3,40,0,0,0,0,0,0,0,0,0,0,0,0
KAESER COMPRESORES DE COLOMBIA SAS,Contratista,2026,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0
MCS COLOMBIA SAS,Contratista,2026,1,1,184,0,0,0,0,0,0,0,0,0,0,0,0
NELEC A&C SAS,Contratista,2026,1,7,493,0,0,0,0,0,0,0,0,0,0,0,0
NEWREST SERVICES COLOMBIA S.A.,Contratista,2026,1,12,1687,0,0,0,0,0,0,0,0,0,0,0,0
PREMAC,Contratista,2026,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0
PROELECT SOLUCIONES INDUSTRIALES S.A,Contratista,2026,1,7,544,0,0,0,0,0,0,0,0,0,0,0,0
QUIRONPREVENCION,Contratista,2026,1,1,108,0,0,0,0,0,0,0,0,0,0,0,0
RAMIREZ & SERNA R&S INGENIERIA S.A.S,Contratista,2026,1,6,196,0,0,0,0,0,0,0,0,0,0,0,0
RR MANTENIMIENTOS Y METALMECANICA DE LA COSTA SAS,Contratista,2026,1,19,990,0,0,0,0,0,0,0,0,0,0,0,0
SOANDES,Contratista,2026,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0
SEGURIDAD ANDINA - ANDINA DE SEGURIDAD DEL VALLE LIMITADA,Contratista,2026,1,31,5547,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIO TECNICO INKJET SAS,Contratista,2026,1,1,42,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIOS DE INGENIERIA AMBIENTAL,Contratista,2026,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIOS TECNICOS DE EQUIPOS Y MAQUINARIA PE,Contratista,2026,1,3,248,0,0,0,0,0,0,0,0,0,0,0,0
SUMMAR PROCESOS SAS,Contratista,2026,1,50,9723,0,0,0,0,0,0,0,0,0,0,0,0
TECNODIESEL SAS,Contratista,2026,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
TNS,Contratista,2026,1,8,32,0,0,0,0,0,0,0,0,0,0,0,0
URBASER,Contratista,2026,1,4,501,0,0,0,0,0,0,0,0,0,0,0,0
MAXITEMPO,Contratista,2026,2,19,3040,0,0,1,0,0,0,0,0,0,0,0,0
ADECCO,Contratista,2026,2,1,178,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIZACION Y PESO,Contratista,2026,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2026,2,6,77,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO S.A.,Contratista,2026,2,16,2395,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2026,2,3,178,0,0,0,0,0,0,0,0,0,0,0,0
COLPLAGAS SAS,Contratista,2026,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
COMPAÑIA DE SEGUROS BOLIVAR SA,Contratista,2026,2,1,42,0,0,0,0,0,0,0,0,0,0,0,0
CREAINNOVA PUBLICIDAD SAS,Contratista,2026,2,4,42,0,0,0,0,0,0,0,0,0,0,0,0
GEINCOR,Contratista,2026,2,4,47,0,0,0,0,0,0,0,0,0,0,0,0
GH PUENTES GRUA COLOMBIA SAS,Contratista,2026,2,3,45,0,0,0,0,0,0,0,0,0,0,0,0
ITECO,Contratista,2026,2,5,105,0,0,0,0,0,0,0,0,0,0,0,0
KAESER COMPRESORES DE COLOMBIA SAS,Contratista,2026,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
MCS COLOMBIA SAS,Contratista,2026,2,2,222,0,0,0,0,0,0,0,0,0,0,0,0
METROLOGIA GLOBAL,Contratista,2026,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0
NELEC A&C SAS,Contratista,2026,2,11,959,0,0,0,0,0,0,0,0,0,0,0,0
NEWREST SERVICES COLOMBIA S.A.,Contratista,2026,2,13,1536,0,0,0,0,0,0,0,0,0,0,0,0
PROELECT SOLUCIONES INDUSTRIALES S.A,Contratista,2026,2,5,28,0,0,0,0,0,0,0,0,0,0,0,0
QUIRONPREVENCION,Contratista,2026,2,1,107,0,0,0,0,0,0,0,0,0,0,0,0
RAMIREZ & SERNA R&S INGENIERIA S.A.S,Contratista,2026,2,10,288,0,0,0,0,0,0,0,0,0,0,0,0
RR MANTENIMIENTOS Y METALMECANICA DE LA COSTA SAS,Contratista,2026,2,13,541,0,0,0,0,0,0,0,0,0,0,0,0
SOANDES,Contratista,2026,2,1,73,0,0,0,0,0,0,0,0,0,0,0,0
SEGURIDAD ANDINA - ANDINA DE SEGURIDAD DEL VALLE LIMITADA,Contratista,2026,2,33,4699,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIO TECNICO INKJET SAS,Contratista,2026,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIOS TECNICOS DE EQUIPOS Y MAQUINARIA PE,Contratista,2026,2,2,165,0,0,0,0,0,0,0,0,0,0,0,0
SUMMAR PROCESOS SAS,Contratista,2026,2,48,8682,0,0,0,0,0,0,0,0,0,0,0,0
TNS,Contratista,2026,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0
URBASER,Contratista,2026,2,6,461,0,0,1,0,0,0,0,0,0,0,0,0
MAXITEMPO,Contratista,2026,3,22,4224,0,0,0,0,0,0,0,0,0,0,0,0
ADECCO,Contratista,2026,3,1,196,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2026,3,4,61,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO S.A.,Contratista,2026,3,16,2507,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2026,3,8,217,0,0,0,0,0,0,0,0,0,0,0,0
COLPLAGAS SAS,Contratista,2026,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0
COMPAÑIA DE SEGUROS BOLIVAR SA,Contratista,2026,3,1,55,0,0,0,0,0,0,0,0,0,0,0,0
CREAINNOVA PUBLICIDAD SAS,Contratista,2026,3,4,406,0,0,0,0,0,0,0,0,0,0,0,0
EQUISERVICIOS DE LA COSTA,Contratista,2026,3,3,15,0,0,0,0,0,0,0,0,0,0,0,0
FAMSER,Contratista,2026,3,3,48,0,0,0,0,0,0,0,0,0,0,0,0
