Tipo,Planta,Año,Mes,No. Trabajadores,HHT,No. DP,No. NM,No. FAI,No. MTI,No. MWD,No. LTI,No. Fatalidad,No. Dias IncapacidadxAT (Elementia),No. Dias IncapacidadxAT (Ley),No. Cargados,No. Caso EG,No. dias Incapacidad EG,No. Casos EL
Directo,Bquilla,2017,Ene,198,51442,0,0,0,0,0,0,0,0,0,0,20,45,0
Directo,Bquilla,2017,Feb,271,70436,0,0,4,0,0,2,0,14,0,0,15,51,0
Directo,Bquilla,2017,Mar,274,73174,0,0,4,0,0,1,0,20,0,0,24,62,0
Directo,Bquilla,2017,Abr,275,76117,0,0,0,0,0,2,0,30,0,0,31,94,0
Directo,Bquilla,2017,May,275,76000,0,0,0,0,0,0,0,9,0,0,27,82,0
Directo,Bquilla,2017,Jun,273,62916,0,0,0,0,0,0,0,0,0,0,29,71,0
Directo,Bquilla,2017,Jul,279,70000,0,0,0,0,0,3,0,21,0,0,27,68,0
Directo,Bquilla,2017,Ago,279,70000,0,0,0,0,0,2,0,42,0,0,32,134,0
Directo,Bquilla,2017,Sep,279,70000,0,0,0,0,0,1,0,54,0,0,28,130,0
Directo,Bquilla,2017,Oct,279,75000,0,0,0,0,0,0,0,28,0,0,38,166,0
Directo,Bquilla,2017,Nov,279,75000,0,0,0,0,0,2,0,49,0,0,29,123,0
Directo,Bquilla,2017,Dic,279,75000,0,0,0,0,0,0,0,38,0,0,20,98,0
Directo,Bquilla,2018,Ene,279,75000,0,0,0,0,0,1,0,14,0,0,22,107,0
Directo,Bquilla,2018,Feb,276,75000,0,0,0,0,0,1,0,27,0,0,19,84,0
Directo,Bquilla,2018,Mar,276,75000,0,0,0,0,0,1,0,20,0,0,21,83,0
Directo,Bquilla,2018,Abr,258,75000,0,0,0,0,0,2,0,10,0,0,21,83,0
Directo,Bquilla,2018,May,263,75000,0,0,0,0,0,0,0,3,0,0,26,99,0
Directo,Bquilla,2018,Jun,263,75000,0,0,0,0,0,0,0,0,0,0,32,94,0
Directo,Bquilla,2018,Jul,269,75000,0,0,2,0,0,1,0,5,0,0,21,130,0
Directo,Bquilla,2018,Ago,269,75000,0,0,2,0,0,0,0,15,0,0,12,76,0
Directo,Bquilla,2018,Sep,278,75000,0,0,1,0,0,0,0,0,0,0,31,98,0
Directo,Bquilla,2018,Oct,278,75000,0,0,0,0,0,0,0,0,0,0,32,72,0
Directo,Bquilla,2018,Nov,278,75000,0,0,1,0,0,0,0,0,0,0,24,95,0
Directo,Bquilla,2018,Dic,278,75000,0,0,0,0,0,0,0,0,0,0,21,80,0
Directo,Bquilla,2019,Ene,214,47283,0,0,0,1,0,0,0,7,0,0,27,137,1
Directo,Bquilla,2019,Feb,207,49482,0,0,0,0,0,1,0,43,0,0,28,102,0
Directo,Bquilla,2019,Mar,205,49482,0,0,0,0,0,1,0,8,0,0,28,81,0
Directo,Bquilla,2019,Abr,205,49482,0,0,0,0,0,0,0,24,0,0,34,85,0
Directo,Bquilla,2019,May,204,49482,0,0,0,0,0,0,0,0,0,0,32,92,0
Directo,Bquilla,2019,Jun,208,49482,0,0,0,0,0,0,0,0,0,0,40,135,0
Directo,Bquilla,2019,Jul,208,49482,0,0,0,0,0,0,0,0,0,0,31,137,0
