Empresa,Tipo,Anio,Mes,NumTrabajadores,HHT,DP,NM,FAI,MTI,MWD,LTI,Fatalidad,DiasIncapAT,Cargados,CasosEG,IncapacidadEG,CasosEL
Brillaseo,Contratista,2024,1,15,2718,0,0,0,0,0,0,0,0,0,0,0,0
Climafrio,Contratista,2024,1,9,354,0,0,0,0,0,0,0,0,0,0,0,0
Compañia de Seguros Bolivar,Contratista,2024,1,1,141,0,0,0,0,0,0,0,0,0,0,0,0
Derco,Contratista,2024,1,2,94,0,0,0,0,0,0,0,0,0,0,0,0
Egv Gropu,Contratista,2024,1,11,596,0,0,0,0,0,0,0,0,0,0,0,0
Energia y maquinado,Contratista,2024,1,6,12,0,0,0,0,0,0,0,0,0,0,0,0
Greofuturo,Contratista,2024,1,6,594,0,0,0,0,0,0,0,0,0,0,0,0
Lnequipos,Contratista,2024,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Maxitempo,Contratista,2024,1,25,6000,0,0,0,0,0,0,0,3,0,0,0,0
Msc Colombia,Contratista,2024,1,1,262,0,0,0,0,0,0,0,0,0,0,0,0
Nelec,Contratista,2024,1,18,2615,0,0,0,0,0,1,0,4,0,0,0,0
Premac,Contratista,2024,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Proelect,Contratista,2024,1,6,337,0,0,0,0,0,0,0,0,0,0,0,0
QuironPrevencion,Contratista,2024,1,1,75,0,0,0,0,0,0,0,0,0,0,0,0
Ramirez Y Serna RYS,Contratista,2024,1,4,139,0,0,0,0,0,0,0,0,0,0,0,0
RR Mantenimiento,Contratista,2024,1,16,3041,0,0,0,0,0,0,0,0,0,0,0,0
Sapore,Contratista,2024,1,11,1554,0,0,0,0,0,0,0,0,0,0,0,0
Seguridad Andina,Contratista,2024,1,20,3558,0,0,0,0,0,0,0,0,0,0,0,0
Servicio Tecnico Inkjet,Contratista,2024,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0
Servicios integrales energeticos Seiner,Contratista,2024,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Servicios tecnicos de equipos y maquinaria,Contratista,2024,1,4,215,0,0,0,0,0,0,0,0,0,0,0,0
Supply Logistc,Contratista,2024,1,40,8162,0,0,0,0,0,0,0,0,0,0,0,0
